Feature,MLP Projected Gain Importance
t2w_wavelet-LLH_firstorder_Skewness,0.12658182206092392
adc_log-sigma-3-0-mm-3D_firstorder_Mean,0.12654451658464588
adc_wavelet-HHL_glszm_ZoneEntropy,0.1255041950613771
adc_log-sigma-5-0-mm-3D_firstorder_90Percentile,0.12535387654758048
t2w_original_firstorder_Entropy,0.12532717439556193
hbv_wavelet-HHL_glcm_Idmn,0.12473958884239149
adc_wavelet-HLL_glcm_Imc2,0.12433780488553745
adc_original_glszm_LargeAreaEmphasis,0.1237615167059694
adc_wavelet-LHL_firstorder_Kurtosis,0.12346408366251048
hbv_wavelet-LHH_firstorder_Maximum,0.1232632232932201
t2w_wavelet-HHH_ngtdm_Strength,0.12306274732926992
adc_wavelet-LLL_glcm_Imc2,0.1229727918757851
adc_wavelet-LHH_firstorder_Skewness,0.12290549998955161
adc_wavelet-HLL_firstorder_Median,0.12252259224079295
t2w_log-sigma-5-0-mm-3D_firstorder_Maximum,0.12244528133067457
adc_wavelet-HLL_glcm_ClusterShade,0.1219463468883115
adc_wavelet-HLL_ngtdm_Strength,0.1211011024863075
hbv_wavelet-LLL_firstorder_Minimum,0.12042892774956547
adc_wavelet-LHL_firstorder_Mean,0.12041250392886074
t2w_log-sigma-3-0-mm-3D_glcm_Idmn,0.12006012643024687
t2w_log-sigma-5-0-mm-3D_firstorder_Skewness,0.12005982032895282
hbv_wavelet-LHL_firstorder_Skewness,0.11958677902705453
t2w_wavelet-HLL_firstorder_Range,0.11931180256171375
t2w_log-sigma-3-0-mm-3D_glcm_Correlation,0.11918361204366074
adc_wavelet-HLH_ngtdm_Strength,0.11880820337161721
hbv_log-sigma-5-0-mm-3D_glcm_Correlation,0.11855110181788815
adc_wavelet-HLL_firstorder_Mean,0.11853582806515814
hbv_wavelet-HLH_firstorder_Mean,0.11705888452179762
hbv_wavelet-HLL_firstorder_Median,0.11676486024026074
adc_wavelet-HLH_glszm_ZoneEntropy,0.11655938874939024
hbv_wavelet-LLL_glcm_JointEntropy,0.11564366788180756
adc_wavelet-HLL_firstorder_RootMeanSquared,0.11552240754964535
t2w_original_firstorder_Skewness,0.11517469752463957
adc_log-sigma-3-0-mm-3D_ngtdm_Contrast,0.1149391693722663
adc_log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.11470082573059759
adc_wavelet-LLH_ngtdm_Busyness,0.11463092468732088
hbv_log-sigma-5-0-mm-3D_glcm_Imc2,0.11345440866191973
adc_wavelet-LLH_ngtdm_Strength,0.11330535043096138
adc_wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.11291380606032315
t2w_wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.11234398356672352
adc_log-sigma-5-0-mm-3D_firstorder_Kurtosis,0.1123087934483591
adc_original_firstorder_Skewness,0.11218877802546103
adc_original_glcm_Idm,0.11202895576900332
t2w_log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.11192580526112673
adc_wavelet-HHH_glcm_Idmn,0.11164983985490388
t2w_wavelet-HLH_ngtdm_Strength,0.11122121806029397
adc_wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.11091580931395599
adc_wavelet-LHL_glcm_Imc2,0.11053667572053169
t2w_original_glrlm_LongRunLowGrayLevelEmphasis,0.10955843805186066
t2w_wavelet-HHH_ngtdm_Contrast,0.10937257430081371
t2w_wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.1093148686383533
adc_log-sigma-5-0-mm-3D_glcm_Idmn,0.10879931792202611
t2w_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.10878828805837942
adc_wavelet-LHL_ngtdm_Contrast,0.10852981341546047
t2w_wavelet-LHL_glcm_ClusterShade,0.1083923875678352
hbv_log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.10726597760925347
hbv_wavelet-HHH_firstorder_Mean,0.10725001695906303
adc_wavelet-LHH_glcm_Idmn,0.10681045258863595
t2w_wavelet-HLL_ngtdm_Strength,0.10667105223860332
hbv_original_glszm_SizeZoneNonUniformityNormalized,0.10604483998251309
t2w_wavelet-LHL_firstorder_Skewness,0.10569525601960739
adc_wavelet-LHH_firstorder_Variance,0.10564894818567871
adc_wavelet-LHL_glcm_ClusterShade,0.10514070501079129
t2w_log-sigma-3-0-mm-3D_ngtdm_Contrast,0.10505968510394402
hbv_log-sigma-3-0-mm-3D_firstorder_Entropy,0.10462730234646292
t2w_log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.10447104797529284
hbv_wavelet-LLL_ngtdm_Busyness,0.1044221240817897
hbv_wavelet-HHL_firstorder_Mean,0.1043501000055131
t2w_original_glcm_Idmn,0.10412045237612638
hbv_log-sigma-3-0-mm-3D_firstorder_90Percentile,0.10386101144797652
hbv_original_glcm_InverseVariance,0.1038122746425544
t2w_wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.1036747649574639
adc_log-sigma-5-0-mm-3D_ngtdm_Strength,0.10366210771588782
t2w_wavelet-LLH_ngtdm_Contrast,0.1036411501665174
t2w_wavelet-LLL_glszm_ZoneEntropy,0.1033447978041777
adc_wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.10255490193207831
t2w_wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.1023215830432739
hbv_original_firstorder_Uniformity,0.1018101934592424
hbv_original_glszm_GrayLevelNonUniformity,0.10164408276258996
hbv_log-sigma-5-0-mm-3D_firstorder_90Percentile,0.10093361833084254
hbv_wavelet-HLH_glcm_Correlation,0.10085450373254157
hbv_wavelet-LHL_glszm_SizeZoneNonUniformity,0.10034183212686251
hbv_original_ngtdm_Coarseness,0.10033706766210651
hbv_wavelet-HHH_ngtdm_Strength,0.10033115931051337
adc_original_firstorder_10Percentile,0.10024190041147814
hbv_original_ngtdm_Strength,0.0997543466217907
t2w_wavelet-HLH_glcm_Correlation,0.09945336800933745
adc_original_ngtdm_Contrast,0.09911502832737218
t2w_wavelet-HHL_glcm_Idmn,0.09884632029585001
adc_wavelet-LLH_ngtdm_Complexity,0.09828273053951739
hbv_wavelet-HLL_glcm_Correlation,0.09809232214979781
hbv_wavelet-LHL_glcm_Idmn,0.097952308889641
t2w_wavelet-HHL_gldm_DependenceEntropy,0.09747686565392759
hbv_wavelet-HHL_glcm_ClusterShade,0.09735357980320213
hbv_original_glrlm_GrayLevelNonUniformity,0.09696630413527911
t2w_wavelet-LHL_firstorder_RootMeanSquared,0.09694334929773382
t2w_wavelet-HLL_firstorder_RootMeanSquared,0.09589092668236072
t2w_wavelet-LLH_firstorder_Maximum,0.09580605662132696
adc_wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0955299598022775
adc_original_gldm_LargeDependenceHighGrayLevelEmphasis,0.09550405137784818
t2w_log-sigma-5-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.09528131705288337
hbv_wavelet-HLL_ngtdm_Contrast,0.09506291637055576
hbv_wavelet-HLL_ngtdm_Strength,0.09490181149652943
hbv_wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.09401914287035341
t2w_wavelet-HHL_glcm_ClusterShade,0.09392797013762137
hbv_log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0930168363893661
t2w_wavelet-HLH_firstorder_Maximum,0.0922321206896046
t2w_wavelet-LLL_glcm_Idmn,0.09204122374242331
t2w_wavelet-HLH_gldm_DependenceEntropy,0.09201072190585297
t2w_log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.09148173551052782
t2w_wavelet-LHL_firstorder_Median,0.09140357275335674
t2w_log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.09103698621041577
adc_wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.09085863253731856
t2w_log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.09081171975350465
t2w_wavelet-LLH_firstorder_Median,0.09020949170911159
t2w_wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.09019616877925926
t2w_log-sigma-5-0-mm-3D_glcm_ClusterShade,0.08973978209512264
